Blog	times	together	better	photos	word	add	house	point	came	using	business	either	done	else	over	site	help	page	needs	their	story	personal	again	report	getting	happy	u	take	will	minutes	recently	watch	three	service	give	build	call	big	hope	app	into	how	read	way	man	worked	around	group	million	second	won	kind	pretty	ways	president	future	still	play	itself	both	live	does	user	example	got	post	everyone	ago	same	home	amp	show	change	others	make	go	only	has	companies	android	also	write	say	start	love	mean	people	based	he	words	fast	system	taking	though	case	all	works	questions	created	ask	comes	day	youtube	any	american	looking	found	never	really	made	across	z	email	learn	few	talk	control	next	me	see	security	lot	right	interesting	money	did	series	months	left	york	likely	social	tips	book	twitter	four	via	wants	available	don	tool	myself	off	once	need	website	public	writing	photo	always	place	car	hand	been	human	less	posted	shot	during	blog	having	said	hard	head	reason	days	ve	called	small	back	tell	rather	very	told	try	gets	problem	dead	someone	find	data	up	each	outside	features	check	now	technology	idea	means	five	run	every	open	your	product	special	such	own	network	review	year	do	years	high	away	possible	face	while	share	line	thought	morning	bad	several	part	popular	facebook	little	company	why	original	state	after	tv	happens	easy	doing	ever	remember	information	view	value	video	they	reading	takes	until	since	known	recent	had	friday	working	apple	yes	nbsp	want	lead	google	free	making	set	far	x	continue	content	short	yet	support	keep	weekend	instead	com	team	close	most	took	look	within	building	didn	its	readers	enough	smart	already	amazon	latest	who	thing	full	links	night	design	going	think	co	week	later	am	interview	david	when	great	stop	use	says	yesterday	which	move	number	work	level	d	then	things	ll	down	wrong	two	health	update	or	please	art	month	tech	might	water	top	self	stuff	first	order	web	internet	fact	know	april	our	users	another	spend	long	asked	here	today	question	nothing	music	create	so	friends	too	these	let	posts	name	started	yourself	apps	phone	past	would	stories	visit	everything	should	seen	whole	there	old	through	probably	come	good	turn	often	where	anything	important	course	us	news	link	white	him	deal	if	his	center	because	even	were	above	without	sure	major	get	click	project	bit	actually	digital	used	other	anyone	tools	anti	something	become	may	than	least	time	almost	research	being	key	list	doesn	sometimes	version	she	out	no	program	m	favorite	feel	before	person	obama	success	issue	family	send	wrote	end	note	re	maybe	aren	following	media	trying	world	some	single	under	her	well	them	isn	community	different	city	text	put	mark	store	online	real	images	k	makes	against	best	last	seems	between	whether	much	wasn	could	went	game	search	those	th	black	life	many
mezzoblue	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	2	0	1	2	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
Deadspin	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	1	0	0	2	3	25	1	1	0	1	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	4	0	0	0	5	0	0	3	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	0	1	1	0	0	0	5	0	2	2	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	3	1	0	0	0	0	9	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	2	0	2	0	1	4	2	0	0	0	0	0	1	0	1	3	2	0	0	0	0	1	0	3	0	0	0	2	1	1	0	0	6	0	0	2	0	1	0	0	0	0	5	0	0	0	0	5	2	7	0	0	0	0	1	1	7	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	1	1	0	1	0	0	1	1	0	0	9	0	0	0	0	1	0	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	1	2	0	0	1	0	2	2	0	1	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	1	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	1	0	7	0	0	0	0	1	0
A Consuming Experience (full feed)	1	0	3	0	20	18	0	1	2	17	0	1	1	3	12	3	2	2	0	4	0	2	16	2	2	0	0	3	11	4	2	0	0	0	1	0	0	2	2	0	0	12	2	15	0	9	0	0	0	0	2	1	1	2	0	0	4	0	3	11	0	1	2	2	4	9	0	0	17	0	2	2	2	1	18	14	19	10	0	0	10	0	2	10	1	0	9	3	0	0	1	1	2	3	4	16	3	0	1	0	0	1	0	2	0	0	11	1	3	4	3	1	0	0	1	0	0	8	12	20	3	3	10	0	0	2	0	0	10	0	1	0	5	0	0	0	2	0	1	19	24	1	3	4	8	1	0	0	0	6	1	0	0	5	0	1	0	0	0	1	4	0	1	0	2	1	19	1	0	9	0	1	2	0	18	2	10	0	0	9	1	22	2	0	0	6	14	0	0	0	0	4	5	29	54	0	0	0	3	3	6	0	16	2	0	0	5	0	1	0	2	0	0	1	0	0	0	0	0	0	3	11	0	13	2	0	1	1	0	1	0	10	1	1	5	0	3	1	2	0	0	12	0	7	1	5	29	9	1	0	6	0	6	3	4	3	0	0	3	2	8	0	4	0	0	8	5	1	5	3	0	5	6	0	2	0	7	2	0	3	2	4	0	0	0	2	1	1	0	4	1	0	0	18	0	5	18	1	0	16	3	4	15	0	7	34	2	8	8	2	4	0	4	39	6	0	0	1	1	0	8	0	1	10	1	1	3	0	2	0	0	2	2	1	3	1	16	0	0	2	0	1	27	0	3	0	2	1	13	2	0	0	0	1	2	0	1	3	13	0	0	24	6	1	2	0	1	1	0	8	6	1	0	0	0	0	0	0	1	54	0	0	14	13	3	5	5	11	0	17	18	1	13	0	0	2	13	0	5	0	5	0	15	5	3	13	1	0	0	3	3	7	1	22	0	6	10	7	1	0	1	12	0	0	0	0	0	0	0	1	4	13	0	0	2	0	7	0	14	2	0	0	5	8	3	0	2	0	3	0	0	1	2	1	0	0	0	2	4	0	5	1	0	1	1	8	0	0	6	4	0	0	0	3
Home - SearchEngineWatch	3	0	4	0	0	0	0	0	0	0	1	1	0	0	1	3	1	0	0	1	0	0	0	0	1	0	2	2	9	0	0	0	1	1	1	0	1	0	1	4	2	3	0	1	0	0	1	0	0	0	0	1	0	4	0	1	0	0	0	0	2	1	4	0	0	0	0	1	0	0	0	1	2	0	2	0	2	7	0	2	2	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	2	2	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	1	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	3	1	0	0	0	0	3	0	0	0	0	0	0	0	18	1	0	1	0	0	0	3	1	1	1	0	0	0	1	3	2	0	0	0	0	1	0	2	0	1	1	0	0	4	0	0	0	0	1	0	1	0	3	5	1	0	1	0	3	0	2	0	0	0	0	1	0	1	2	24	0	0	0	0	0	0	10	0	0	1	2	0	0	1	1	1	1	0	3	0	1	0	9	0	0	1	1	0	2	0	0	0	9	0	0	0	1	0	1	0	0	0	0	1	2	0	4	0	0	7	2	1	1	2	0	0	0	0	0	0	1	0	2	4	0	1	0	0	1	0	1	0	0	4	1	0	0	0	2	0	2	5	0	2	0	0	4	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	0	4	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	1	3	0	0	0	0	1	4	1	0	4	0	0	0	2	0	1	1	1	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	0	0	2	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	2	1	0	1	1	0	1	0	0	36	0	0	0	0	2
BuzzMachine	1	0	1	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	1	5	0	0	0	0	1	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	3	0	5	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	1	2	0	1	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	4	9	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	4	0	0	0	1	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	2	8	1	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	20	0	0	1	0	1	2	2	0	0	0	0	1	1	0	1	0	1	3	0	2	0	0	1	0	0	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	3	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	3	1	0	0	0	0	1	0	0	0	0	2
TechCrunch	0	1	2	0	0	0	1	0	0	0	4	0	1	0	3	1	0	0	1	1	0	0	1	0	0	0	1	1	3	0	1	1	0	1	0	1	0	0	0	3	4	1	20	3	0	0	2	0	3	0	1	0	1	1	0	2	1	1	0	1	1	0	0	1	2	0	0	1	1	1	0	0	0	0	4	2	2	11	3	0	0	0	0	0	1	0	4	2	3	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	3	1	0	1	0	3	1	0	1	0	1	1	4	0	0	4	1	0	0	3	1	0	0	0	0	0	0	0	1	1	0	1	4	1	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	3	0	0	2	2	1	0	2	0	1	1	1	1	0	1	0	0	0	2	3	5	0	0	0	0	2	1	1	1	0	0	1	1	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	0	2	0	0	2	1	0	3	0	20	1	1	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	9	0	1	0	1	1	1	3	0	0	0	0	1	1	1	0	0	1	0	1	0	3	1	1	0	1	0	6	0	2	1	0	0	1	1	0	0	0	1	0	0	3	0	0	1	3	0	0	0	0	1	3	0	0	4	2	0	2	5	0	0	0	2	0	0	2	0	1	0	1	3	0	0	0	0	0	0	1	0	2	1	0	2	1	0	1	1	1	0	6	0	0	0	4	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	2	1	0	2	0	5	0	0	2	0	1	0	2	0	0	3	0	1	1	1	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	4	3	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	3	0	1	0	2	1	0	1	1	0	0	1	0	0	0
Joi Ito's Web	0	3	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	6	1	0	1	0	0	1	0	0	0	0	1	1	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	3	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	1	2	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
WIL WHEATON dot NET	2	8	4	0	0	0	3	2	4	2	1	0	2	1	12	0	2	0	2	8	3	0	2	0	2	2	0	3	6	1	0	6	0	0	4	2	0	0	0	0	13	7	1	14	1	4	6	0	0	3	1	3	5	0	1	0	5	5	1	2	2	1	0	0	1	3	0	2	3	2	1	18	0	1	9	3	6	12	0	0	2	7	0	2	7	2	8	0	39	2	0	3	4	3	0	14	0	1	6	0	0	9	0	1	0	1	1	5	16	6	0	0	0	0	10	3	0	1	23	4	1	8	6	1	0	7	1	2	2	0	1	1	0	0	3	0	0	2	0	8	0	8	9	0	3	0	0	9	0	4	2	0	2	16	1	1	0	1	2	4	5	15	4	2	2	3	14	2	4	8	1	1	4	7	1	0	0	1	2	2	0	17	2	0	0	0	7	0	1	0	0	2	6	1	3	0	0	0	4	1	0	3	13	8	3	5	2	8	7	2	1	7	2	2	4	8	0	0	8	0	4	1	0	5	3	0	0	4	5	0	0	0	0	1	5	1	1	4	1	2	0	27	0	3	3	0	2	6	1	0	2	5	3	1	0	0	0	1	1	1	3	0	0	3	0	4	1	0	2	0	2	5	3	0	3	2	1	0	0	19	6	1	0	5	0	12	9	1	5	4	2	0	0	13	2	2	3	0	9	5	0	0	8	2	4	5	8	5	11	0	7	1	0	11	1	1	0	0	0	0	0	2	8	9	0	0	3	3	11	3	20	0	6	2	9	1	11	6	0	0	0	3	29	4	5	3	3	0	1	1	1	0	0	1	8	3	2	4	0	0	3	14	5	6	0	7	7	1	0	5	2	2	2	4	0	0	1	16	3	11	33	0	20	5	8	2	1	4	0	7	0	0	7	1	0	2	4	1	0	0	7	1	1	6	1	18	6	0	5	0	1	1	1	1	41	18	3	0	25	1	4	3	2	0	1	0	7	0	3	5	0	10	2	1	0	0	1	13	20	3	0	42	7	4	3	0	1	1	0	6	0	0	0	1	1	0	0	3	3	9	0	2	0	14	6	8	4	13	0	3	0	0	6	4
Joho the Blog	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	2	1	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	1	0	1	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	0	1	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	1	3	0	2	0	0	0	0	0	2	0	0	1	0	5	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1
43 Folders	3	3	27	0	3	1	2	21	1	8	8	7	10	7	29	2	30	4	4	19	6	4	10	0	11	6	0	10	53	7	1	6	3	3	4	2	3	25	20	8	21	60	43	36	7	5	10	0	0	8	10	9	11	5	0	8	20	6	6	8	8	5	0	0	2	2	8	3	9	6	11	4	13	4	45	21	22	28	2	0	27	3	21	11	15	7	54	2	39	1	2	4	1	2	3	58	0	0	0	9	5	16	0	38	2	2	1	26	77	28	0	0	11	11	13	22	3	3	82	18	0	39	24	2	5	13	0	4	2	1	4	1	5	25	4	5	1	3	5	46	3	8	13	4	21	1	1	4	2	20	7	3	3	31	4	16	15	2	2	5	11	14	16	1	5	7	40	3	2	25	17	8	29	6	18	13	15	1	7	10	3	45	13	5	2	2	41	3	6	11	4	6	12	4	83	4	5	6	13	4	1	14	74	16	0	7	5	5	10	4	3	10	7	6	2	17	2	1	28	2	32	2	0	10	4	3	5	16	26	6	6	4	3	14	48	13	4	15	5	2	2	26	2	7	1	13	1	26	2	2	8	11	3	7	4	4	1	3	6	3	10	0	4	17	2	2	41	2	5	2	3	8	9	2	15	4	13	1	0	70	33	7	2	5	10	7	31	0	11	5	14	9	4	30	14	11	11	13	1	45	1	9	59	3	45	25	55	37	9	6	10	2	4	105	16	3	2	0	16	5	2	9	27	29	8	10	3	9	40	3	35	5	10	2	21	1	28	13	3	7	0	0	75	5	14	24	17	2	3	2	15	5	1	8	20	2	4	12	16	1	4	33	10	7	8	5	26	5	19	20	14	13	2	21	1	2	0	12	2	59	28	0	57	50	16	1	12	10	4	50	2	3	7	14	0	6	22	14	5	0	23	12	15	36	11	46	13	0	17	2	3	18	15	3	29	44	37	0	47	10	7	13	8	0	5	1	4	3	2	7	4	48	14	4	2	2	10	13	28	6	20	17	24	22	0	0	7	0	4	3	3	0	1	19	0	2	5	4	14	13	2	3	14	37	2	24	2	2	0	27	1	1	32	20
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	6	4	0	1	0	0	1	0	1	5	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	7	0	0	2	0	0	1	1	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	1	0	3	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	0	3	1	0	0	1	0	1	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ReadWrite	4	3	2	2	0	1	1	5	1	1	4	0	1	0	9	4	4	4	0	33	0	1	0	2	2	0	3	10	27	0	1	48	4	5	1	6	2	3	1	32	17	25	3	9	0	1	1	0	3	1	9	0	3	1	0	5	4	0	3	7	2	6	5	3	6	5	1	0	5	2	4	1	4	8	8	5	9	27	9	2	20	2	2	2	5	0	12	1	10	1	2	2	2	6	1	25	1	0	0	1	7	4	3	6	1	1	3	2	3	0	2	0	1	2	4	3	4	5	4	22	0	3	8	2	3	3	1	1	2	3	3	3	0	0	16	1	1	3	1	10	1	0	7	1	4	0	6	1	11	6	1	0	0	15	0	6	4	0	1	1	1	4	0	2	2	0	9	2	4	14	2	5	5	4	3	2	2	4	1	0	17	18	2	1	3	1	12	6	4	1	0	3	4	1	21	6	5	4	4	3	0	10	14	3	0	2	3	2	5	0	1	2	0	2	1	3	1	14	5	11	5	1	1	4	0	2	5	1	4	2	2	0	0	3	28	0	0	4	7	1	1	5	0	0	64	0	78	19	10	11	0	6	1	4	0	0	3	2	6	13	4	0	1	0	2	2	8	1	5	4	1	0	45	1	3	1	9	15	6	15	5	1	2	0	2	6	6	1	2	0	0	0	1	18	1	1	12	0	0	18	2	5	7	1	4	6	8	7	4	2	7	2	8	34	2	0	1	4	8	3	2	0	3	12	5	8	12	3	6	0	16	21	3	1	7	0	9	7	1	2	0	0	19	7	9	10	1	5	3	0	2	19	2	5	12	0	0	2	5	3	2	21	3	4	2	2	6	3	5	5	2	2	3	9	13	0	0	0	3	22	10	2	5	8	3	1	1	0	2	14	1	3	3	6	3	0	24	0	0	1	0	3	17	13	6	18	0	1	0	2	0	7	0	3	3	29	9	1	5	1	2	5	0	0	2	2	2	3	1	2	2	13	1	2	1	2	5	11	18	4	3	2	5	18	2	3	2	0	1	5	2	10	2	1	2	0	3	5	5	6	3	5	7	21	0	17	1	0	1	9	0	0	4	12
Bloggers Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1
